id,margin,reagan,mondale,hall,other,hex_color
13089,15.04%, 57.52%, 42.48%,-,0.0%,92006c
13091,4.77%, 52.39%, 47.61%,-,0.0%,850079
13093,9.21%, 45.40%, 54.60%,-,0.0%,73008b
13095,13.47%, 56.73%, 43.27%,-,0.0%,90006e
13097,47.96%, 73.98%, 26.02%,-,0.0%,bc0042
13099,19.96%, 59.98%, 40.02%,-,0.0%,980066
13101,33.24%, 66.62%, 33.38%,-,0.0%,a90055
13103,34.98%, 67.49%, 32.51%,-,0.0%,ac0052
13105,11.53%, 55.77%, 44.23%,-,0.0%,8e0070
13107,22.92%, 61.46%, 38.54%,-,0.0%,9c0062
13109,14.60%, 57.30%, 42.70%,-,0.0%,92006c
13111,35.83%, 67.91%, 32.09%,-,0.0%,ad0051
13113,62.93%, 81.47%, 18.53%,-,0.0%,cf002f
13115,27.00%, 63.50%, 36.50%,-,0.0%,a1005d
13117,50.09%, 75.04%, 24.96%,-,0.0%,bf003f
13119,16.21%, 58.10%, 41.90%,-,0.0%,94006a
13121,13.78%, 43.11%, 56.89%,-,0.0%,6d0091
13123,41.32%, 70.66%, 29.34%,-,0.0%,b4004a
13125,44.58%, 72.29%, 27.71%,-,0.0%,b80046
13127,28.15%, 64.07%, 35.93%,-,0.0%,a3005b
